                                                                         file  Avg_wall_time_s  mean_fdr_bh_0.05  mean_power_bh_0.05  mean_fdr_by_0.05  mean_power_by_0.05  mean_fdr_bh_0.1  mean_power_bh_0.1  mean_fdr_by_0.1  mean_power_by_0.1  mean_fdr_lct_0.05  mean_power_lct_0.05  mean_fdr_lct_0.1  mean_power_lct_0.1  mean_fdr_lctb_0.05_B100  mean_power_lctb_0.05_B100  mean_fdr_lctb_0.1_B100  mean_power_lctb_0.1_B100    model     p    n1    n2  rho  block  reps  mean_fdr_lct_cai_liu_0.05  mean_power_lct_cai_liu_0.05  mean_fdr_lct_cai_liu_0.1  mean_power_lct_cai_liu_0.1  mean_fdr_lct_gaussian_0.05  mean_power_lct_gaussian_0.05  mean_fdr_lct_gaussian_0.1  mean_power_lct_gaussian_0.1  mean_fdr_lct_jackknife_0.05  mean_power_lct_jackknife_0.05  mean_fdr_lct_jackknife_0.1  mean_power_lct_jackknife_0.1
                               results/tables/nullcal_exp_p250_n80_80_R30.csv         4.244047               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                               results/tables/nullcal_exp_p500_n80_80_R10.csv       115.612423               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                           results/tables/nullcal_gaussian_p100_n40_40_R3.csv         0.093748               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                          results/tables/nullcal_gaussian_p250_n80_80_R30.csv         4.374646               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                          results/tables/nullcal_gaussian_p500_n80_80_R10.csv       114.127877               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                           results/tables/nullcal_laplace_p250_n80_80_R30.csv         4.519583               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                           results/tables/nullcal_laplace_p500_n80_80_R10.csv       116.127145               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                                 results/tables/nullcal_t_p250_n80_80_R30.csv         4.520262               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                                 results/tables/nullcal_t_p500_n80_80_R10.csv       118.802027               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n120_rho0.25_b20_R20.csv         9.097771          0.025000            0.002632          0.000000            0.000526         0.088333           0.006053         0.000000           0.000789           0.050000             0.001842          0.162500            0.002895                 0.000000                   0.001842                0.100000                  0.002632      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
